MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_CARULLA,USERS_CARULLA,ORDERS_CARULLA,TOTAL_PRICE_USD_CARULLA,SOLD_UNITS_CARULLA,AVG_TICKET_CARULLA,MDOWN_AVG_CARULLA,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FRQUENCY_TURBO,AOV_CARULLA,BASKET_SIZE_CARULLA,FRQUENCY_CARULLA
2022-04-01,Costa,CERVEZAS,29,3859,6802,45626.2,12704,3.666032426,0.08773516365,24,488,562,4681.74,1213,3.869731265,0.1516384615,0.9473609858,6.70776242,1.867686,1.762633,8.33049822,2.158363,1.151639
2022-04-01,Costa,CERVEZAS,29,1314,2076,15534.89,4186,3.761117089,0.06236777317,23,810,1053,10448.61,2769,3.876366926,0.07903192217,0.9702685943,7.48308767,2.016378,1.579909,9.92270655,2.62963,1.3
2022-04-01,Medellín,CERVEZAS,31,10937,18513,110707.81,31255,3.600841743,0.062663607,26,1732,2028,13683.54,3673,3.714907837,0.09115746854,0.9692950407,5.98000378,1.688273,1.692695,6.74730769,1.811144,1.170901
2022-05-01,Bogotá,CERVEZAS,42,25983,41588,296390.49,77121,3.901331356,0.08468754552,34,4276,5093,37739,10057,3.801523402,0.07871838363,1.026254726,7.12682721,1.854405,1.600585,7.40997447,1.974671,1.191066
2022-05-01,Bogotá,CERVEZAS,25,417,709,5367.01,1435,3.817724408,0.1547602302,20,231,293,2695.84,723,3.795523702,0.09682044132,1.005849181,7.56983075,2.023977,1.70024,9.20081911,2.467577,1.268398
2022-05-01,Cali y Bucaramanga,CERVEZAS,32,3016,5007,33691.77,8552,3.968726914,0.07707729305,24,543,611,4846.52,1286,3.861388598,0.1034104627,1.027797854,6.72893349,1.708009,1.660146,7.93211129,2.104746,1.12523
2022-05-01,Costa,CERVEZAS,22,1291,2006,16138.86,3922,4.151877802,0.1011079939,19,622,762,7225.14,1827,3.992740387,0.06943482489,1.03985669,8.04529412,1.955135,1.553834,9.48181102,2.397638,1.22508
2022-05-01,Costa,CERVEZAS,26,3760,6292,47864.04,11982,4.053699061,0.1086956872,20,407,467,3824.31,990,3.972463787,0.1162371517,1.020449595,7.60712651,1.904323,1.673404,8.18910064,2.119914,1.14742
2022-05-01,Medellín,CERVEZAS,38,12486,20977,135902.77,36266,3.781461486,0.08323729853,31,1814,2157,14728.23,4069,3.685900812,0.06349884657,1.025926003,6.47865615,1.728846,1.680042,6.82810848,1.886416,1.189085
2022-06-01,Bogotá,CERVEZAS,21,428,691,5288.32,1376,3.90246222,0.1479078121,18,163,213,1999.86,545,3.715544833,0.1186195923,1.050306858,7.65314038,1.991317,1.614486,9.38901408,2.558685,1.306748
2022-06-01,Bogotá,CERVEZAS,47,22578,36398,256199.28,67890,3.837705443,0.09252304323,37,4423,5467,46240.03,12110,3.860807063,0.1198581262,0.9940163755,7.03882851,1.865212,1.6121,8.45802634,2.215109,1.236039
2022-06-01,Cali y Bucaramanga,CERVEZAS,27,2802,4686,31799.57,8142,3.946488722,0.08036382072,23,468,552,4771.97,1221,3.843652287,0.1278947843,1.026754875,6.78607981,1.737516,1.672377,8.64487319,2.211957,1.179487
2022-06-01,Costa,CERVEZAS,22,3254,5439,40858.05,10415,3.986895154,0.1093935294,18,375,449,3998.88,1028,3.916604713,0.1501007313,1.017946779,7.51205185,1.914874,1.671481,8.90619154,2.289532,1.197333
2022-06-01,Costa,CERVEZAS,20,1613,2455,19675.43,5051,3.92653258,0.1079864759,18,649,807,7148.83,1986,3.65549293,0.09990710883,1.074145855,8.01443177,2.057434,1.522009,8.8585254,2.460967,1.243451
2022-06-01,Medellín,CERVEZAS,43,11878,20186,130493.21,35479,3.726121489,0.09257664547,36,1703,2028,14350.12,3833,3.796363807,0.09466192181,0.9814974745,6.46454028,1.757604,1.699444,7.07599606,1.890039,1.19084
2022-07-01,Bogotá,CERVEZAS,24,533,881,6636.95,1704,3.98656978,0.108331588,18,202,250,2369.15,623,3.878910224,0.113790098,1.027755104,7.53342792,1.934166,1.652908,9.4766,2.492,1.237624
2022-07-01,Bogotá,CERVEZAS,49,27593,47138,353353.41,89679,4.017079524,0.08491269254,39,3926,4727,39708.05,10154,3.986416677,0.09565180394,1.007691832,7.49614769,1.902478,1.708332,8.40026444,2.148085,1.204024
2022-07-01,Cali y Bucaramanga,CERVEZAS,28,3429,5807,40793.7,10126,4.061251397,0.08357008692,23,402,480,4444.16,1141,4.074695095,0.1125740759,0.9967006861,7.0249182,1.743758,1.693497,9.25866667,2.377083,1.19403
2022-07-01,Costa,CERVEZAS,19,4323,7807,60142.11,15214,4.048004633,0.09326054481,17,360,407,3826.82,951,4.091356491,0.1482857733,0.989404038,7.70361342,1.948764,1.805922,9.40250614,2.336609,1.130556
