MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_SUPER,USERS_SUPER,ORDERS_SUPER,TOTAL_PRICE_USD_SUPER,SOLD_UNITS_SUPER,AVG_TICKET_SUPER,MDOWN_AVG_SUPER,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FREQUENCY_TURBO,AOV_SUPER,BASKET_SIZE_SUPER,FREQUENCY_SUPER
2022-04-01,Cali y Bucaramanga,CERVEZAS,39,2628,4355,27706.98,7430,3.759071082,0.06678010524,33,814,976,7021.37,2026,3.48202506,0.07908263956,1.079564626,6.36210792,1.706085,1.657154,7.19402664,2.07582,1.199017
2022-04-01,Cali y Bucaramanga,CERVEZAS,26,434,659,3971.28,1122,3.632948495,0.01111728277,23,302,349,2501.59,751,3.42512979,0.03265644564,1.060674695,6.02622155,1.70258,1.518433,7.16787966,2.151862,1.155629
2022-04-01,Costa,CERVEZAS,29,3859,6802,45626.2,12704,3.666032426,0.08773516365,25,556,642,4597.05,1373,3.450634967,0.08467733992,1.062422557,6.70776242,1.867686,1.762633,7.16051402,2.138629,1.154676
2022-04-01,Costa,CERVEZAS,29,1314,2076,15534.89,4186,3.761117089,0.06236777317,27,634,795,7024.02,2000,3.569941586,0.04430415084,1.053551437,7.48308767,2.016378,1.579909,8.83524528,2.515723,1.253943
2022-04-01,Medellín,CERVEZAS,31,10937,18513,110707.81,31255,3.600841743,0.062663607,29,2733,3288,22091.68,6397,3.462437964,0.08224965138,1.039972927,5.98000378,1.688273,1.692695,6.71888078,1.94556,1.203074
2022-05-01,Bogotá,CERVEZAS,25,417,709,5367.01,1435,3.817724408,0.1547602302,21,237,285,2350.02,654,3.605110376,0.06141264673,1.058975734,7.56983075,2.023977,1.70024,8.24568421,2.294737,1.202532
2022-05-01,Bogotá,CERVEZAS,42,25983,41588,296390.49,77121,3.901331356,0.08468754552,37,5089,5900,41493.45,11683,3.604672293,0.05410309126,1.082298483,7.12682721,1.854405,1.600585,7.03278814,1.980169,1.159363
2022-05-01,Cali y Bucaramanga,CERVEZAS,32,3016,5007,33691.77,8552,3.968726914,0.07707729305,28,838,1017,7536.34,2181,3.55906791,0.04835798818,1.115102891,6.72893349,1.708009,1.660146,7.41036382,2.144543,1.213604
2022-05-01,Cali y Bucaramanga,CERVEZAS,25,614,913,6219.71,1662,3.767792259,0.08390413447,23,401,462,3012.47,861,3.523250771,0.03878521151,1.069407914,6.81238773,1.820372,1.486971,6.52049784,1.863636,1.15212
2022-05-01,Costa,CERVEZAS,26,3760,6292,47864.04,11982,4.053699061,0.1086956872,24,619,715,5319.12,1526,3.623347268,0.05808810879,1.118771887,7.60712651,1.904323,1.673404,7.43932867,2.134266,1.155089
2022-05-01,Costa,CERVEZAS,22,1291,2006,16138.86,3922,4.151877802,0.1011079939,21,519,624,5560.78,1518,3.784804369,0.04353277396,1.096986105,8.04529412,1.955135,1.553834,8.91150641,2.432692,1.202312
2022-05-01,Medellín,CERVEZAS,9,16,17,103.27,27,3.838166667,0.05504038506,7,106,116,681.46,212,3.250870968,0.04727494028,1.180657954,6.07470588,1.588235,1.0625,5.87465517,1.827586,1.09434
2022-05-01,Medellín,CERVEZAS,38,12486,20977,135902.77,36266,3.781461486,0.08323729853,35,3104,3712,24004.9,6900,3.521317471,0.05099876536,1.073876899,6.47865615,1.728846,1.680042,6.46683728,1.858836,1.195876
2022-06-01,Bogotá,CERVEZAS,47,22578,36398,256199.28,67890,3.837705443,0.09252304323,41,5650,6864,55063.48,14968,3.776209514,0.1022583782,1.016285094,7.03882851,1.865212,1.6121,8.02206876,2.180653,1.214867
2022-06-01,Bogotá,CERVEZAS,21,428,691,5288.32,1376,3.90246222,0.1479078121,19,207,251,2114.04,596,3.596552148,0.08423280918,1.085056482,7.65314038,1.991317,1.614486,8.42247012,2.374502,1.21256
2022-06-01,Cali y Bucaramanga,CERVEZAS,26,711,1067,8043.77,2132,3.784347826,0.1323392445,23,423,554,5403.92,1660,3.457031168,0.06774625533,1.094681431,7.53867854,1.998126,1.500703,9.75436823,2.99639,1.309693
2022-06-01,Cali y Bucaramanga,CERVEZAS,27,2802,4686,31799.57,8142,3.946488722,0.08036382072,26,1008,1336,11770.63,3250,3.638437621,0.138275467,1.084665764,6.78607981,1.737516,1.672377,8.8103518,2.432635,1.325397
2022-06-01,Costa,CERVEZAS,22,3254,5439,40858.05,10415,3.986895154,0.1093935294,21,612,734,5989.27,1715,3.528930346,0.1041772073,1.129774397,7.51205185,1.914874,1.671481,8.15976839,2.336512,1.199346
2022-06-01,Costa,CERVEZAS,20,1613,2455,19675.43,5051,3.92653258,0.1079864759,18,601,787,7472.06,2182,3.481690913,0.1086503073,1.127765984,8.01443177,2.057434,1.522009,9.49435832,2.772554,1.309484
2022-06-01,Medellín,CERVEZAS,43,11878,20186,130493.21,35479,3.726121489,0.09257664547,39,3299,4094,28100.96,7796,3.659122795,0.09719030843,1.018310042,6.46454028,1.757604,1.699444,6.86393747,1.90425,1.240982
2022-06-01,Medellín,CERVEZAS,25,154,207,1160.94,319,3.659644445,0.08838242126,18,119,130,751.44,221,3.392623656,0.08711997077,1.07870628,5.6084058,1.541063,1.344156,5.78030769,1.7,1.092437
2022-07-01,Bogotá,CERVEZAS,49,27593,47138,353353.41,89679,4.017079524,0.08491269254,43,5535,6700,53320.8,14461,3.790594239,0.08328588104,1.059749282,7.49614769,1.902478,1.708332,7.95832836,2.158358,1.210479
2022-07-01,Bogotá,CERVEZAS,24,533,881,6636.95,1704,3.98656978,0.108331588,20,255,314,2552.75,688,3.802765016,0.08981447724,1.048334505,7.53342792,1.934166,1.652908,8.12977707,2.191083,1.231373
2022-07-01,Cali y Bucaramanga,CERVEZAS,28,3429,5807,40793.7,10126,4.061251397,0.08357008692,25,980,1281,10908.12,3063,3.719041807,0.1032333697,1.092015526,7.0249182,1.743758,1.693497,8.51531616,2.391101,1.307143
2022-07-01,Cali y Bucaramanga,CERVEZAS,26,824,1443,11192.81,2875,3.970135799,0.09977344301,25,453,646,8836.76,2781,3.528849576,0.06012069723,1.125051015,7.75662509,1.992377,1.751214,13.67919505,4.304954,1.426049
2022-07-01,Costa,CERVEZAS,21,2093,3440,28855.84,7131,4.094757037,0.09116590572,19,679,873,7988.28,2235,3.681155902,0.06491087119,1.112356321,8.38832558,2.072965,1.643574,9.15037801,2.560137,1.285714
2022-07-01,Costa,CERVEZAS,19,4323,7807,60142.11,15214,4.048004633,0.09326054481,18,732,878,7413.85,2110,3.602039365,0.1043327652,1.123809105,7.70361342,1.948764,1.805922,8.4440205,2.403189,1.199454
